,Year,SBT,GFS,GFE,GFN,CTN,CTS,LCM,la_temp,la_rainfall,la_temp_lag1
1529,1879,0.812,0.787,0.875,0.921,0.908,0.918,1.372,61.9,17.41,62.0
1530,1880,0.922,0.874,1.023,0.97,0.996,1.039,0.943,59.9,18.65,61.9
1531,1881,0.788,0.815,1.028,0.877,1.021,1.14,1.113,62.4,5.53,59.9
1532,1882,0.965,0.873,1.006,0.911,1.022,1.03,0.995,61.4,10.74,62.4
1533,1883,0.867,0.763,1.039,0.838,0.903,1.005,0.813,62.8,14.14,61.4
1534,1884,1.001,0.979,1.152,1.026,1.069,1.169,0.951,62.0,40.29,62.8
1535,1885,0.863,0.87,1.089,0.826,0.875,1.127,1.23,64.3,10.53,62.0
1536,1886,1.116,0.93,1.094,0.968,1.079,1.223,0.985,62.6,16.72,64.3
1537,1887,0.908,0.809,0.917,0.801,0.84,1.006,0.856,62.5,16.02,62.6
1538,1888,1.043,0.976,1.166,1.037,1.066,1.129,0.894,63.2,20.82,62.5
1539,1889,1.065,1.028,1.231,0.968,1.185,1.215,0.803,63.1,33.26,63.2
1540,1890,1.061,1.047,1.252,0.899,1.041,1.094,0.646,63.7,12.69,63.1
1541,1891,1.235,1.157,1.348,1.194,1.223,1.335,1.001,63.1,12.84,63.7
1542,1892,1.042,0.873,1.164,0.983,1.016,1.042,1.042,61.7,18.72,63.1
1543,1893,1.281,1.083,1.227,1.22,1.288,1.261,0.978,61.6,21.96,61.7
1544,1894,0.894,0.848,0.947,0.822,0.868,1.019,1.075,60.3,7.51,61.6
1545,1895,1.257,1.018,1.261,1.035,1.203,1.245,1.186,61.8,12.55,60.3
1546,1896,1.411,1.113,1.291,1.131,1.216,1.254,1.082,63.2,11.8,61.8
1547,1897,1.169,1.115,1.248,1.044,1.138,1.3,1.139,61.9,14.28,63.2
1548,1898,0.965,0.962,0.922,0.779,1.114,0.973,0.961,62.7,4.83,61.9
1549,1899,0.995,0.919,0.875,0.88,1.022,0.924,0.789,61.9,8.69,62.7
